nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30865,37756826.340867355,44552.42655802137,4725,4244,8471,13419,221370.10980814797
30871,37641722.275880136,44426.60979989154,4737,4136,8635,13357,221280.40804535252
30877,37590971.20582803,44472.78452166249,4686,4112,8602,13471,221189.95078981077
30883,37505933.62207035,43943.229978733965,4683,4185,8666,13343,221136.86738466876
30889,37451937.031225696,44035.650743216036,4751,4066,8639,13427,221071.21534162047
30895,37749124.503251575,43643.971020022705,4836,4060,8702,13291,221014.49388041763
30901,37659454.96577532,43680.07222640806,4795,4062,8756,13282,220948.60200426241
30907,37496922.840141065,43231.24741535356,4781,4054,8888,13178,220899.60986639126
30913,37444989.1287056,44769.46218411885,4917,4077,8307,13606,242061.65965015654
30919,37016240.22414595,44608.49893790711,4799,4097,8401,13616,241999.37360744746
30925,37306595.026149556,44547.01047413704,4875,4078,8390,13576,241966.84400132622
30931,37521573.99080425,44407.1380569157,4949,4260,8269,13447,241938.20605983984
30937,37249786.130590506,44215.019206761106,4867,4191,8451,13422,241897.1469976662
30943,37316505.765856445,44520.94690113897,4910,4113,8320,13594,241856.60504105096
30949,37605224.22034776,44079.866843246695,4987,4082,8419,13455,241835.54569571515
30955,37520461.52000959,43783.71555282443,4942,4229,8402,13376,241797.89900513008
30961,37310023.08756912,43856.76466812727,4877,4133,8523,13422,241750.66979215268
30967,37548967.999146916,43867.1270683464,4959,4188,8377,13437,241724.11408144297
30973,37454548.48686532,43629.79898401938,4926,4120,8527,13394,241685.52214023643
30979,37818133.942942314,43598.50593464965,5054,4263,8332,13324,241659.0933008589
30985,37407366.99798366,43700.5234131822,4954,4101,8498,13426,241628.8650440369
30991,37507760.14561648,43640.54514712185,4950,4216,8479,13340,241598.296612712
30997,37791244.20131606,43639.46184304071,5084,4058,8497,13352,241570.90829184433
31003,37881516.657564774,42935.37385260438,5056,4134,8620,13187,241536.09447106443
31009,37785437.99834167,43228.273875821214,5056,4198,8494,13255,241502.40030581012
31015,37603265.71593884,43659.55411624168,5048,4243,8309,13409,241470.73006614324
31021,37868492.66421656,43175.235723055295,5100,4165,8574,13176,241436.24766206378
31027,37659237.51620795,43005.48203083958,5028,4237,8560,13196,241394.72112077443
31033,37683085.87728222,43274.47895336846,5056,4173,8495,13303,241349.87680244577
31039,37873934.70582827,42706.30553413993,5113,4214,8578,13128,241310.79023736573
31045,37482670.10510326,42936.68584151623,5039,4271,8437,13292,241276.40525039038
31051,37650927.161851525,42439.22306870719,5109,4176,8594,13166,241238.66519757858
31057,37537968.14872008,42324.51319360462,5082,4208,8619,13142,241201.97241192727
31063,37905074.116711535,41934.78906363969,5205,4212,8588,13052,241160.30666429907
31069,37967252.53750359,41865.29733072976,5198,4152,8704,13009,241134.31828498948
31075,37614820.00811365,41549.12722750426,5104,4240,8758,12967,241090.34104768102
31081,37600711.18110372,41697.15191946011,5208,4180,8561,13126,241047.6512743892
31087,37618987.60795953,41082.21585444693,5168,4160,8853,12900,241015.91625342183
31093,38030085.88353696,40773.0937060686,5331,4223,8647,12886,240976.761257268
31099,37916139.26473563,40775.88414707819,5370,4114,8719,12890,240931.90984619377
